,error,type
0,True,Error:  Invalid date entry
0,True,Error:  Invalid date entry
0,True,Error:  Invalid date entry
0,True,Error:  Invalid date entry
0,True,Error:  Invalid date entry
0,True,Error:  Invalid date entry
0,True,Error:  Invalid date entry
0,True,Error:  Invalid date entry
0,True,Error:  Invalid date entry
0,True,Error:  Invalid date entry
0,True,Error:  Invalid date entry
0,True,Error:  Invalid date entry
0,True,Error:  Invalid date entry
0,True,Error:  Invalid date entry
0,True,Error:  Invalid date entry
0,True,Error:  Invalid date entry
0,True,Error:  Invalid date entry
0,True,Error:  Invalid date entry
0,True,Error:  Invalid date entry
0,True,Error:  Invalid date entry
0,True,Error:  Invalid date entry
0,True,Error:  Invalid date entry
0,True,Error:  Invalid date entry
0,True,Error:  Invalid date entry
0,True,Error:  Invalid date entry
0,True,Error:  Invalid date entry
0,True,Error:  Invalid date entry
0,True,Error:  Invalid date entry
0,True,Error:  Invalid date entry
0,True,Error:  Invalid date entry
0,True,Error:  Invalid date entry
0,True,Error:  Invalid date entry
0,True,Error:  Invalid date entry
0,True,Error:  Invalid date entry
0,True,Error:  Invalid date entry
0,True,Error:  Invalid date entry
0,True,Error:  Invalid date entry
0,True,Error:  Invalid date entry
0,True,Error:  Invalid date entry
0,True,Error:  Invalid date entry
0,True,Error:  Invalid date entry
0,True,Error:  Invalid date entry
0,True,Error:  Invalid date entry
0,True,Error:  Invalid date entry
0,True,Error:  Invalid date entry
0,True,Error:  Invalid date entry
0,True,Error:  Invalid date entry
0,True,Error:  Invalid date entry
0,True,Error:  Invalid date entry
0,True,Error:  Invalid date entry
0,True,Error:  Invalid date entry
0,True,Error:  Invalid date entry
0,True,Error:  Invalid date entry
0,True,Error:  Invalid date entry
0,True,Error:  Invalid date entry
0,True,Error:  Invalid date entry
0,True,Error:  Invalid date entry
0,True,Error:  Invalid date entry
0,True,Error:  Invalid date entry
0,True,Error:  Invalid date entry
0,True,Error:  Invalid date entry
0,True,Error:  Invalid date entry
0,True,Error:  Invalid date entry
0,True,Error:  Invalid date entry
0,True,Error:  Invalid date entry
0,True,Error:  Invalid date entry
0,True,Error:  Invalid date entry
0,True,Error:  Invalid date entry
0,True,Error:  Invalid date entry
0,True,Error:  Invalid date entry
0,True,Error:  Invalid date entry
0,True,Error:  Invalid date entry
0,True,Error:  Invalid date entry
0,True,Error:  Invalid date entry
0,True,Error:  Invalid date entry
0,True,Error:  Invalid date entry
0,True,Error:  Invalid date entry
0,True,Error:  Invalid date entry
0,True,Error:  Invalid date entry
0,True,Error:  Invalid date entry
0,True,Error:  Invalid date entry
0,True,Error:  Invalid date entry
0,True,Error:  Invalid date entry
0,True,Error:  Invalid date entry
0,True,Error:  Invalid date entry
0,True,Error:  Invalid date entry
0,True,Error:  Invalid date entry
0,True,Error:  Invalid date entry
0,True,Error:  Invalid date entry
